title,abstract,categories,update_date,concat,cluster
avalanch inject flux central hole superconduct mgb ring,magnetoopt imag use observ dendrit flux avalanch connect outer inner edg ringshap superconduct mgb film avalanch creat heat channel across entir width ring inject larg amount flux central hole measur inject flux correspond reduct current typic estim maximum temperatur channel k durat process order microsecond flux creep simul reproduc observ featur current densiti inject event,cond-mat.supr-con,2007-05-23,avalanch inject flux central hole superconduct mgb ring magnetoopt imag use observ dendrit flux avalanch connect outer inner edg ringshap superconduct mgb film avalanch creat heat channel across entir width ring inject larg amount flux central hole measur inject flux correspond reduct current typic estim maximum temperatur channel k durat process order microsecond flux creep simul reproduc observ featur current densiti inject event,7
doubl side watermark embed detect perceptu analysi,previou work introduc doublesid techniqu util reject host interfer due nice properti util reject host interfer big advantag host interfer scheme perceptu analysi easili implement scheme achiev local bound maximum embed strength thu work detail implement perceptu analysi doublesid scheme sinc perceptu analysi import improv fidel watermark content extens perform comparison valid perform advantag doublesid scheme,cs.MM cs.CR,2007-05-23,doubl side watermark embed detect perceptu analysi previou work introduc doublesid techniqu util reject host interfer due nice properti util reject host interfer big advantag host interfer scheme perceptu analysi easili implement scheme achiev local bound maximum embed strength thu work detail implement perceptu analysi doublesid scheme sinc perceptu analysi import improv fidel watermark content extens perform comparison valid perform advantag doublesid scheme,1
chao stormer problem,survey exact result stormer problem describ dynam charg particl earth magnetospher analysi system lead conclus charg particl trap earth magnetospher escap infin trap region bound toruslik surfac van allen inner radiat belt trap region motion charg particl period quasiperiod chaotic three main effect observ earth magnetospher radiat belt radiat aurora south atlant anomali describ framework describ discuss new mathemat problem suggest analysi stormer problem,nlin.CD nlin.SI,2007-05-23,chao stormer problem survey exact result stormer problem describ dynam charg particl earth magnetospher analysi system lead conclus charg particl trap earth magnetospher escap infin trap region bound toruslik surfac van allen inner radiat belt trap region motion charg particl period quasiperiod chaotic three main effect observ earth magnetospher radiat belt radiat aurora south atlant anomali describ framework describ discuss new mathemat problem suggest analysi stormer problem,7
teleport superdens code genuin quadripartit entangl state,investig use differ class genuin quadripartit entangl state quantum resourc teleport superdens code examin possibl teleport unknown one two three qubit state show one use teleport protocol send gener one two qubit state restrict class three qubit state also faith teleport also explor superdens code protocol singlereceiv multireceiv scenario show exist genuin quadripartit entangl state use transmit four cbit send two qubit also discuss interest featur multireceiv scenario locc paradigm,quant-ph,2007-05-23,teleport superdens code genuin quadripartit entangl state investig use differ class genuin quadripartit entangl state quantum resourc teleport superdens code examin possibl teleport unknown one two three qubit state show one use teleport protocol send gener one two qubit state restrict class three qubit state also faith teleport also explor superdens code protocol singlereceiv multireceiv scenario show exist genuin quadripartit entangl state use transmit four cbit send two qubit also discuss interest featur multireceiv scenario locc paradigm,6
measur timevari multipleinput multipleoutput channel,deriv criterion measur identifi multipleinput multipleoutput mimo channel base size socal spread support subchannel novel mimo transmiss techniqu provid highcapac commun channel timevari environ exact knowledg transmiss channel oper key import tri transmit inform rate close channel capac,math.FA math.CA,2007-05-23,measur timevari multipleinput multipleoutput channel deriv criterion measur identifi multipleinput multipleoutput mimo channel base size socal spread support subchannel novel mimo transmiss techniqu provid highcapac commun channel timevari environ exact knowledg transmiss channel oper key import tri transmit inform rate close channel capac,1
oneway permut comput asymmetri distort,comput asymmetri ie discrep complex transform complex invers core oneway transform introduc comput asymmetri function measur amount oneway permut also introduc wordlength asymmetri function group algebra analogu comput asymmetri relat boolean circuit word thompson monoid fix gener set way circuit size equal wordlength moreov boolean circuit represent term element thompson group way circuit size polynomi equival wordlength show circuit built gate constrain fixedlength input output quadrat compact circuit built tradit gate fixedlength input output final show comput asymmetri function close relat certain distort function comput asymmetri function polynomi equival distort path length schreier graph certain thompson group compar path length cayley graph certain thompson monoid also show result razborov other monoton circuit complex lead exponenti lower bound certain distort,math.GR,2007-05-23,oneway permut comput asymmetri distort comput asymmetri ie discrep complex transform complex invers core oneway transform introduc comput asymmetri function measur amount oneway permut also introduc wordlength asymmetri function group algebra analogu comput asymmetri relat boolean circuit word thompson monoid fix gener set way circuit size equal wordlength moreov boolean circuit represent term element thompson group way circuit size polynomi equival wordlength show circuit built gate constrain fixedlength input output quadrat compact circuit built tradit gate fixedlength input output final show comput asymmetri function close relat certain distort function comput asymmetri function polynomi equival distort path length schreier graph certain thompson group compar path length cayley graph certain thompson monoid also show result razborov other monoton circuit complex lead exponenti lower bound certain distort,4
python unleash system biolog,built opensourc softwar system model biomolecular reaction network sloppycel written python make substanti use thirdparti librari numer visual parallel program highlight power featur python provid enabl sloppycel dynam code synthesi symbol manipul parallel explor complex paramet space,q-bio.QM q-bio.MN,2007-05-23,python unleash system biolog built opensourc softwar system model biomolecular reaction network sloppycel written python make substanti use thirdparti librari numer visual parallel program highlight power featur python provid enabl sloppycel dynam code synthesi symbol manipul parallel explor complex paramet space,1
entropi eigenfunct,studi highenergi limit eigenfunct laplacian compact neg curv manifold review recent result anantharamannonnenmach give lower bound kolmogorovsinai entropi semiclass measur improv lower bound case variabl neg curvatur,math-ph math.DS math.MP nlin.CD,2007-05-23,entropi eigenfunct studi highenergi limit eigenfunct laplacian compact neg curv manifold review recent result anantharamannonnenmach give lower bound kolmogorovsinai entropi semiclass measur improv lower bound case variabl neg curvatur,4
use triangular element nearli exact bem solut,librari c function yield exact solut potenti flux influenc due uniform surfac distribut singular flat triangular rectangular element develop librari isl use develop nebem solver precis fast solv wide rang problem scientif technolog interest present exact express propos comput influenc uniform singular distribut triangular element illustr accuraci also present studi concern time taken evalu long complic express textitvi vi spent carri simpl quadratur final solv classic benchmark problem electrostat name estim capacit unit squar plate rais unit volt problem present estim valu capacit compar success accur result avail literatur addit present variat charg densiti close corner plate variou degre discret variat found smooth converg clear contrast critic commonli level usual bem solver,math.NA math-ph math.MP physics.comp-ph,2007-05-23,use triangular element nearli exact bem solut librari c function yield exact solut potenti flux influenc due uniform surfac distribut singular flat triangular rectangular element develop librari isl use develop nebem solver precis fast solv wide rang problem scientif technolog interest present exact express propos comput influenc uniform singular distribut triangular element illustr accuraci also present studi concern time taken evalu long complic express textitvi vi spent carri simpl quadratur final solv classic benchmark problem electrostat name estim capacit unit squar plate rais unit volt problem present estim valu capacit compar success accur result avail literatur addit present variat charg densiti close corner plate variou degre discret variat found smooth converg clear contrast critic commonli level usual bem solver,1
parachut degre polynomi algebra independ one,give simpler proof well gener main result articl shestakov umirbaev latter articl first two solv longstand conjectur nontam wild nagata automorph corollari get interest inform lead term polynomi form automorph dimens reprov tame automorph dimens two,math.AC math.AG,2007-05-23,parachut degre polynomi algebra independ one give simpler proof well gener main result articl shestakov umirbaev latter articl first two solv longstand conjectur nontam wild nagata automorph corollari get interest inform lead term polynomi form automorph dimens reprov tame automorph dimens two,4
